frame_id,steering_angle,public
1479425441182877835,-0.0169280299332,0
1479425441232704425,-0.0157079640776,0
1479425441282730750,-0.0157079640776,0
1479425441332806714,-0.0157079640776,1
1479425441382790272,-0.0157079640776,0
1479425441432724303,-0.0174532923847,0
1479425441482746958,-0.0191986225545,1
1479425441532802506,-0.0205366131543,0
1479425441582725165,-0.0231369964613,0
1479425441632720892,-0.0292430744302,1
1479425441682732948,-0.0410089294776,1
1479425441732800574,-0.0514905581597,0
1479425441782737331,-0.054105207324,0
1479425441832816004,-0.054105207324,0
1479425441882830087,-0.054105207324,0
1479425441932849879,-0.054105207324,0
1479425441982783223,-0.0523598790169,0
1479425442032874172,-0.0523598790169,0
1479425442082758552,-0.0519790866065,0
1479425442132852121,-0.0476152155422,0
1479425442182761838,-0.0411586388579,1
1479425442232828524,-0.0336691472673,1
1479425442282862682,-0.0296705979854,1
1479425442332893792,-0.0296705979854,1
1479425442382858459,-0.0296705979854,1
1479425442432797491,-0.0296705979854,1
1479425442482899263,-0.0296705979854,1
1479425442532771570,-0.0296705979854,1
1479425442582809345,-0.0296705979854,0
1479425442632821093,-0.0296705979854,1
1479425442682747552,-0.0279252678156,0
1479425442732806572,-0.0290803139823,1
1479425442782862182,-0.0314159281552,1
1479425442832833025,-0.0314159281552,1
1479425442882822631,-0.0299389934237,0
1479425442932809867,-0.032550197575,1
1479425442982805056,-0.0331612564623,1
1479425443032823520,-0.0331612564623,1
1479425443082812203,-0.0349065847695,1
1479425443132827444,-0.0349065847695,0
1479425443182854411,-0.0458284500335,1
1479425443232861030,-0.0523598790169,1
1479425443282879357,-0.046907210769,1
1479425443332896491,-0.0408051947944,0
1479425443382879593,-0.0399417449655,0
1479425443432903742,-0.0383972451091,0
1479425443483016593,-0.0381990092053,0
1479425443533017775,-0.0327786357097,0
1479425443582977575,-0.0277464048529,0
1479425443632945821,-0.0244346093386,0
1479425443682982187,-0.0226892810315,1
1479425443732869219,-0.019925133127,0
1479425443782898808,-0.0191986225545,1
1479425443833012205,-0.0191986225545,1
1479425443882914607,-0.0190686929655,1
1479425443933132143,-0.0174532923847,1
1479425443983182782,-0.0174532923847,0
1479425444033115695,-0.0191986225545,0
1479425444083198332,-0.0191986225545,1
1479425444133127546,-0.0191986225545,1
1479425444183146275,-0.0191986225545,1
1479425444233201168,-0.0209439508617,1
1479425444283138737,-0.0209439508617,1
1479425444333229360,-0.0219077666152,1
1479425444383185181,-0.0226892810315,1
1479425444434593057,-0.0226892810315,1
1479425444483190972,-0.0226892810315,0
