seq,timestamp,width,height,frame_id,filename
79262,1479425441182877835,640,480,center_camera,center/1479425441182877835.jpg
79263,1479425441232704425,640,480,center_camera,center/1479425441232704425.jpg
79264,1479425441282730750,640,480,center_camera,center/1479425441282730750.jpg
79265,1479425441332806714,640,480,center_camera,center/1479425441332806714.jpg
79266,1479425441382790272,640,480,center_camera,center/1479425441382790272.jpg
79267,1479425441432724303,640,480,center_camera,center/1479425441432724303.jpg
79268,1479425441482746958,640,480,center_camera,center/1479425441482746958.jpg
79269,1479425441532802506,640,480,center_camera,center/1479425441532802506.jpg
79270,1479425441582725165,640,480,center_camera,center/1479425441582725165.jpg
79271,1479425441632720892,640,480,center_camera,center/1479425441632720892.jpg
79272,1479425441682732948,640,480,center_camera,center/1479425441682732948.jpg
79273,1479425441732800574,640,480,center_camera,center/1479425441732800574.jpg
79274,1479425441782737331,640,480,center_camera,center/1479425441782737331.jpg
79275,1479425441832816004,640,480,center_camera,center/1479425441832816004.jpg
79276,1479425441882830087,640,480,center_camera,center/1479425441882830087.jpg
79277,1479425441932849879,640,480,center_camera,center/1479425441932849879.jpg
79278,1479425441982783223,640,480,center_camera,center/1479425441982783223.jpg
79279,1479425442032874172,640,480,center_camera,center/1479425442032874172.jpg
79280,1479425442082758552,640,480,center_camera,center/1479425442082758552.jpg
79281,1479425442132852121,640,480,center_camera,center/1479425442132852121.jpg
79282,1479425442182761838,640,480,center_camera,center/1479425442182761838.jpg
79283,1479425442232828524,640,480,center_camera,center/1479425442232828524.jpg
79284,1479425442282862682,640,480,center_camera,center/1479425442282862682.jpg
79285,1479425442332893792,640,480,center_camera,center/1479425442332893792.jpg
79286,1479425442382858459,640,480,center_camera,center/1479425442382858459.jpg
79287,1479425442432797491,640,480,center_camera,center/1479425442432797491.jpg
79288,1479425442482899263,640,480,center_camera,center/1479425442482899263.jpg
79289,1479425442532771570,640,480,center_camera,center/1479425442532771570.jpg
79290,1479425442582809345,640,480,center_camera,center/1479425442582809345.jpg
79291,1479425442632821093,640,480,center_camera,center/1479425442632821093.jpg
79292,1479425442682747552,640,480,center_camera,center/1479425442682747552.jpg
79293,1479425442732806572,640,480,center_camera,center/1479425442732806572.jpg
79294,1479425442782862182,640,480,center_camera,center/1479425442782862182.jpg
79295,1479425442832833025,640,480,center_camera,center/1479425442832833025.jpg
79296,1479425442882822631,640,480,center_camera,center/1479425442882822631.jpg
79297,1479425442932809867,640,480,center_camera,center/1479425442932809867.jpg
79298,1479425442982805056,640,480,center_camera,center/1479425442982805056.jpg
79299,1479425443032823520,640,480,center_camera,center/1479425443032823520.jpg
79300,1479425443082812203,640,480,center_camera,center/1479425443082812203.jpg
79301,1479425443132827444,640,480,center_camera,center/1479425443132827444.jpg
79302,1479425443182854411,640,480,center_camera,center/1479425443182854411.jpg
79303,1479425443232861030,640,480,center_camera,center/1479425443232861030.jpg
79304,1479425443282879357,640,480,center_camera,center/1479425443282879357.jpg
79305,1479425443332896491,640,480,center_camera,center/1479425443332896491.jpg
79306,1479425443382879593,640,480,center_camera,center/1479425443382879593.jpg
79307,1479425443432903742,640,480,center_camera,center/1479425443432903742.jpg
79308,1479425443483016593,640,480,center_camera,center/1479425443483016593.jpg
79309,1479425443533017775,640,480,center_camera,center/1479425443533017775.jpg
79310,1479425443582977575,640,480,center_camera,center/1479425443582977575.jpg
79311,1479425443632945821,640,480,center_camera,center/1479425443632945821.jpg
79312,1479425443682982187,640,480,center_camera,center/1479425443682982187.jpg
79313,1479425443732869219,640,480,center_camera,center/1479425443732869219.jpg
79314,1479425443782898808,640,480,center_camera,center/1479425443782898808.jpg
79315,1479425443833012205,640,480,center_camera,center/1479425443833012205.jpg
